,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,group_rule_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate
discrete_recoursenet,0.0,1.4955154657363892,0.9831666946411132,0.0027259846131006,0.6779999732971191,0.0453186504768602,0.878875233232975,1.304436445236206,0.9757386445999146,1.0,0.0,0.0,0.0,0.0,4.0,1.0
counternet_projection,0.0,1.2905312776565552,0.968833327293396,0.0024781082073847,0.6119999885559082,0.039107008413835,0.8399101793766022,1.094648838043213,0.9445925951004028,0.9997037053108216,0.0002962962898891,0.0,0.0,0.0005925925797782,6.794370174407959,0.9999127984046936
counternet,2.749767541885376,16.7273006439209,1.0,0.0003381736675898,0.596666693687439,0.5902141874486749,0.3831806182861328,5.902105331420898,1.0,0.0,1.0,1.0,0.0,13.24899196624756,21.3748836517334,0.3801607191562652
vanillacf,0.04529816657304764,7.339468955993652,0.0,0.24405377864837646,0.6208333373069763,0.2237808218959606,0.4228784441947937,5.017601013183594,1.0,0.0,1.0,1.0,0.0,13.022648811340332,20.02264976501465,0.3496040999889374
