,feature,features,type,mutable,n_samples,changed_count,change_rate,monotonicity_violation_rate,immutability_violation_rate,rule_kind,rule_check_supported,rule_violation_rate,valid_change_rate_given_change,monotonicity_violation_rate_given_change,immutability_violation_rate_given_change,rule_violation_rate_given_change
hours_per_week,hours_per_week,['hours_per_week'],0,True,3929,3929,1.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
education,education,['education'],0,True,3929,3928,0.9997454823110206,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
occupation,occupation,['occupation'],0,True,3929,3143,0.7999490964622041,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
age,age,['age'],0,False,3929,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
gender,gender,['gender'],0,False,3929,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
marital_status,marital_status,['marital_status'],0,False,3929,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
race,race,['race'],0,False,3929,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
workclass,workclass,['workclass'],0,True,3929,0,0.0,0.0,0.0,,False,0.0,1.0,0.0,0.0,0.0
