,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,group_rule_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate
discrete_recoursenet,3.59938907623291,0.6181638240814209,1.0,0.0016699042643121,0.7718409299850464,0.1454328586315286,0.8414442390203476,1.724539041519165,1.0,1.0,0.0,0.0,0.0,0.0,2.799694538116455,1.0
counternet_projection,4.107960224151611,0.6279495358467102,1.0,0.0006535983426073,0.7787501811981201,0.1633072331033904,0.8239234834909439,1.5152984857559204,1.0,1.0,0.0,0.0,0.0,0.0,3.052736282348633,1.0
counternet,7.049306392669678,1.6406567096710205,1.0,0.00036728105731,0.7692307829856873,0.2996539000807137,0.6882028877735138,0.4439283609390259,1.0,0.0,0.0,1.0,0.0,2.4748330116271973,5.524653434753418,0.552038311958313
vanillacf,4.236764907836914,1.6840211153030396,0.0,0.3198098278045654,0.7836634516716003,0.20416503528068805,0.7849982976913452,1.2821348905563354,1.0,0.0,0.0,1.0,0.0,1.743137240409851,4.118382453918457,0.5767422318458557
