,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,group_rule_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate
discrete_recoursenet,1.9145907163619995,0.3984987139701843,0.9990440011024476,0.0068047811378712,0.7017208337783813,0.0660882694380624,0.9167259633541108,0.5781899690628052,0.9982206225395204,1.0,0.0,0.0,0.0,0.0,2.295373678207397,0.711240291595459
counternet_projection,2.0877742767333984,0.2135380655527115,0.9531548619270324,0.006969598009755,0.6935946345329285,0.0657517812081745,0.9140767231583596,0.2596643567085266,0.8975966572761536,0.9958202838897704,0.0041797282174229,0.0,0.0,0.0041797282174229,11.60188102722168,0.9207421541213988
counternet,2.555168390274048,0.6865991353988647,1.0,0.0007167268209657,0.6859464645385742,0.0926219293049403,0.8386925309896469,0.3185219168663025,1.0,0.0,1.0,1.0,1.0,12.218350410461426,22.27758407592773,0.3217767477035522
vanillacf,0.0,1.647612452507019,0.0,0.4462456321716309,0.6907265782356262,0.04707464150020054,0.8260882496833801,0.8265926837921143,1.0,0.0,1.0,1.0,1.0,11.574869155883789,21.0,0.35178259015083313
