,cat_proximity,cont_proximity,sensitivity,time,pred_accuracy,proximity,sparsity,manifold_dist,validity_recourse,actionability_rate,monotonicity_violation_rate,immutability_violation_rate,group_rule_violation_rate,avg_num_actionability_violations,avg_num_actionability_changes,valid_change_rate
discrete_recoursenet,0.0,0.4243601858615875,1.0,0.0040568300397287,0.9093419313430786,0.0063337341173371,0.9850746253505348,1.055547833442688,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
counternet_projection,0.985844612121582,0.1690384894609451,0.9976990222930908,0.0038251529023003,0.9183924198150636,0.0172370612176496,0.970656318590045,0.690328061580658,0.9952815175056458,1.0,0.0,0.0,0.0,0.0,10.704938888549805,1.0
counternet,7.897632598876953,0.757314920425415,1.0,0.0003966656102781,0.91731858253479,0.1291783211836174,0.8407578319311142,0.8682653307914734,1.0,0.0,1.0,1.0,1.0,14.577415466308594,27.94881629943848,0.3369311392307281
vanillacf,0.0,0.33924686908721924,0.0,0.30340038299560546,0.9136370420455933,0.005063386105779392,0.9997654165345011,0.8638555407524109,1.0,0.0,1.0,1.0,1.0,10.0,24.0,0.4166666567325592
